dt_us
35833
2614
7713
6957
9437
8835
13278
2528
13243
3202
18227
2412
5712
6574
11687
4963
7150
22663
10595
3400
16104
3726
5401
7646
8561
11952
3129
19575
19684
7585
3016
13283
3287
9203
8303
15249
9987
5193
14533
13045
8614
17086
10456
5447
11907
5385
7142
10344
15229
2243
6209
10654
12562
2120
9685
6830
23481
1645
19059
5367
10183
8969
19028
6693
6853
10672
3948
18374
8508
9350
11253
3356
13910
10770
2883
5764
16552
5395
2528
8506
12511
8796
4358
8029
23231
1655
9144
15490
13609
3381
12951
6312
14217
10742
5619
8181
8586
20124
5970
1912
14543
1910
10396
3999
11050
7325
6343
7428
8003
16803
2754
12403
2364
21978
6805
3871
10145
7959
8498
8133
10130
12955
3173
18247
8536
13085
2927
19232
2331
9581
15318
14285
8893
5513
5040
10604
6317
11242
9726
4813
7734
16676
7309
2084
16368
13943
3195
13753
15357
5271
16429
3059
2758
8244
11653
9672
4223
7331
10979
8614
6658
8878
23520
3776
6017
17250
3681
2970
8198
21769
3969
12986
3437
7448
7977
13256
9386
11854
2512
6178
7239
10777
6044
8017
11293
13689
6076
4002
6235
9886
10819
7870
5766
10201
6257
13496
4304
13166
2047
12099
4233
21140
5354
7488
10975
5480
10660
25405
3831
2470
2773
12042
3429
8141
9035
11801
7333
2834
23634
1861
9020
11783
4853
10296
6441
12847
2777
10133
13709
2153
13169
3531
10290
6577
17287
7383
10832
5756
9389
8645
14369
13236
4132
12318
10445
4054
6024
11617
5872
7557
19459
2868
4409
7239
11553
4950
7518
9343
10540
6667
12219
4287
10903
8286
5204
12835
4219
9325
7581
10309
5899
10062
14206
8285
13412
14245
9034
7358
16178
7462
9565
11817
9761
3040
9673
5215
16933
9845
13358
2593
7740
7867
17608
14558
2550
15237
4648
8278
5318
12891
3895
9218
13055
12517
1932
3631
12066
11518
3001
6358
11057
11124
14322
5683
3132
12209
3852
8883
6527
13363
7986
2637
9446
8262
6226
11274
13221
6537
6718
5857
11557
11039
3259
5631
9535
13623
3983
9254
18395
8905
4882
8157
18137
6150
8576
6517
10023
15185
5824
4789
6705
9941
13175
6010
6013
6477
9634
13285
11304
5415
1655
17341
11215
8395
10978
7110
4143
10084
12038
12345
5847
14533
10703
11049
13459
2625
9077
10366
11706
4360
4424
8367
15148
3076
11729
5139
8554
7382
10256
11001
11260
8411
4307
10667
5338
9563
4074
10206
8029
7069
11376
7643
24164
3932
4249
12414
3468
8829
8197
18264
2184
3173
21842
7592
4107
15333
4346
6389
6040
11498
10422
3409
9275
9829
20777
3496
4028
3682
13126
4085
8653
7722
22056
1671
15271
8468
1751
8025
19429
5251
9176
8561
11925
3919
8465
9874
18593
1967
8300
4998
9594
4006
10106
8485
8897
8477
6379
7796
12385
8299
6118
6443
22660
4911
6324
21092
4841
7508
23295
2173
1923
8978
10668
2971
12410
5109
28044
2752
8355
10108
7853
2028
10663
7483
5985
10957
6536
13464
3004
16302
2200
21887
11352
2297
8306
2808
9377
9392
23072
2556
17796
3274
6290
4702
12522
6248
6039
8482
9994
12349
2785
13454
3883
11772
2860
10819
5946
12611
3908
8260
9609
13623
9724
14272
8378
7222
5131
9477
13018
4179
6266
11317
7606
5621
15889
3156
18808
6798
5218
12032
6057
6314
9449
20093
2876
1812
10564
12146
4121
9467
5864
15369
3397
5720
8735
12716
3773
8436
7869
22489
3254
8505
10240
5667
10049
25790
1835
3886
8303
11920
5287
8255
8697
19454
