time_s,x_m_ned,y_m_ned,z_m_ned,xd_m_ned,yd_m_ned,zd_m_ned,error_norm_m,ax_mps2,ay_mps2,az_mps2,control_output_norm_mps2
1785860353.1999762,6.480030424427241e-05,0.000563672510907054,0.01626271940767765,-0.0009306840947829187,0.0004204882716294378,-1.0,1.0162632170598338,-0.0010624575128313153,-0.011011887085158378,-3.0,3.000020398342842
1785860353.2199667,8.002254617167637e-05,0.0005769959534518421,0.016278987750411034,-0.0009306840947829187,0.0004204882716294378,-1.0,1.0162795023838513,-0.0014085232109064237,-0.010843564053997397,-3.0,3.000019927736986
1785860353.240023,9.076248534256592e-05,0.0005837431526742876,0.016287529841065407,-0.0009306840947829187,0.0004204882716294378,-1.0,1.0162880562693466,-0.0015922009053174406,-0.010768244727980346,-3.0,3.000019748301375
1785860353.2599359,0.00010519244096940383,0.0005927472957409918,0.016303343698382378,-0.0009306840947829187,0.0004204882716294378,-1.0,1.0163038862101634,-0.0017416580436984076,-0.010634848059155048,-3.0,3.000019355498558
1785860353.2799444,0.00011480121611384675,0.0005968959303572774,0.016304384917020798,-0.0009306840947829187,0.0004204882716294378,-1.0,1.0163049379791291,-0.0018149093403480947,-0.010469077378045767,-3.0,3.0000188158538377
1785860353.2999744,0.00012879984569735825,0.0006006694748066366,0.015786902979016304,-0.0009306840947829187,0.0004204882716294378,-1.0,1.0157874714895767,-0.002300246207974851,-0.010017170689068735,-3.0,3.0000176057552115
1785860353.3199885,0.00014072538760956377,0.0005991326179355383,0.0147238252684474,-0.0009306840947829187,0.0004204882716294378,-1.0,1.0147244066245336,-0.0027067739258054644,-0.009603543651755898,-3.0,3.000016592400075
1785860353.3399353,0.0001613984495634213,0.0005918348324485123,0.011888701468706131,-0.0009306840947829187,0.0004204882716294378,-1.0,1.011889305291815,-0.0030669499267823993,-0.009123563011176884,-3.0,3.0000154408909085
1785860353.3599298,0.00017897634825203568,0.0005813513416796923,0.009161282330751419,-0.0009306840947829187,0.0004204882716294378,-1.0,1.0091619052355638,-0.0033398469553794713,-0.008781928602140396,-3.0,3.0000147127718657
1785860353.3799071,0.0002075360534945503,0.0005604486796073616,0.0037957727909088135,-0.0009306840947829187,0.0004204882716294378,-1.0,1.0037964278711693,-0.003371125153731555,-0.008483674868009985,-3.0,3.0000138895051913
1785860353.4000123,0.0002291619312018156,0.0005418405635282397,-0.0006271054153330624,-0.0009306840947829187,0.0004204882716294378,-1.0,0.9993735749957162,-0.0032260379930958154,-0.008378084398340434,-3.0,3.000013433239811
1785860353.4199393,0.00026040320517495275,0.0005112390499562025,-0.008539672940969467,-0.0009306840947829187,0.0004204882716294378,-1.0,0.9914610466663124,-0.002840819216798991,-0.008354763919487595,-3.0,3.0000129786942544
1785860353.4399395,0.00028170717996545136,0.0004883634974248707,-0.01466451957821846,-0.0009306840947829187,0.0004204882716294378,-1.0,0.9853362286436405,-0.0024271369678899647,-0.008514280057977885,-3.0,3.0000130639646834
1785860353.4599843,0.00030890823109075427,0.00045563478488475084,-0.02513415925204754,-0.0009306840947829187,0.0004204882716294378,-1.0,0.9748666294840664,-0.0016523472825065255,-0.008893427543342113,-3.0,3.0000136371865063
1785860353.479989,0.0003258542565163225,0.0004335898265708238,-0.032967716455459595,-0.0009306840947829187,0.0004204882716294378,-1.0,0.9670330999907125,-0.0010577240171842277,-0.009286581157706678,-3.0,3.0000145598596175
1785860353.4999487,0.0003435600665397942,0.0004061171202920377,-0.04600178450345993,-0.0009306840947829187,0.0004204882716294378,-1.0,0.9539990666008513,0.00020862802350893615,-0.010249877084512263,-3.0,3.0000175171998413
1785860353.5200126,0.00035113823832944036,0.00039155303966253996,-0.055547963827848434,-0.0009306840947829187,0.0004204882716294378,-1.0,0.9444529064677943,0.0010373084251768887,-0.01104319296311587,-2.8707925996631385,2.8708140271358977
1785860353.5399792,0.00035139344981871545,0.0003799401456490159,-0.07115744054317474,-0.0009306840947829187,0.0004204882716294378,-1.0,0.9288434451646235,0.0025788983814418317,-0.01242414423963055,-2.613214556440711,2.613245363158724
1785860353.55998,0.0003439161810092628,0.0003795294906012714,-0.08242510259151459,-0.0009306840947829187,0.0004204882716294378,-1.0,0.9175757835937461,0.003728451335802674,-0.013421813464723528,-2.442537309154868,2.4425770311373087
1785860353.5800233,0.00031779997516423464,0.0003932697291020304,-0.10059920698404312,-0.0009306840947829187,0.0004204882716294378,-1.0,0.8994016599556919,0.005523784850724042,-0.015135719604790212,-2.1787258385270833,2.17878541432436
1785860353.5999591,0.00029040410299785435,0.00041305413469672203,-0.11353175342082977,-0.0009306840947829187,0.0004204882716294378,-1.0,0.886469087619417,0.006701294635888189,-0.01636224168399349,-2.009727040395141,2.0098048181846253
1785860353.6199553,0.00023308889649342746,0.0004599419771693647,-0.13408567011356354,-0.0009306840947829187,0.0004204882716294378,-1.0,0.8659151128296851,0.00866707432619296,-0.018199299894273283,-1.754277763709426,1.7543935718473669
1785860353.6400003,0.00018337015353608876,0.0005032847984693944,-0.1485150009393692,-0.0009306840947829187,0.0004204882716294378,-1.0,0.8514857318812896,0.010018015073146671,-0.01950874886056408,-1.5926074029058217,1.5927583908736869
1785860353.6599145,9.121409675572067e-05,0.0005859069642610848,-0.17116378247737885,-0.0009306840947829187,0.0004204882716294378,-1.0,0.8288368639946365,0.012116166901076213,-0.021433037810958924,-1.3503269432634115,1.3505513801086166
1785860353.6799276,1.8160038962378167e-05,0.0006528694066219032,-0.18688760697841644,-0.0009306840947829187,0.0004204882716294378,-1.0,0.8131129798444175,0.013610051094467054,-0.02270209282869473,-1.198128665074706,1.1984210097387702
1785860353.6999178,-0.000109215805423446,0.0007694807136431336,-0.21131989359855652,-0.0009306840947829187,0.0004204882716294378,-1.0,0.7886806114259861,0.015873152368149023,-0.024594465932808816,-0.9709415799230336,0.9713827239271137
1785860353.7199762,-0.00020553240028675646,0.0008583050803281367,-0.22813042998313904,-0.0009306840947829187,0.0004204882716294378,-1.0,0.7718700348158049,0.01739738275590935,-0.02588900554785505,-0.8287575269788503,0.8293442880125915
1785860353.7399049,-0.0003661068039946258,0.0010067408438771963,-0.2540396749973297,-0.0009306840947829187,0.0004204882716294378,-1.0,0.7459607690205198,0.019613619960058712,-0.027755432915873825,-0.6168468428701163,0.6177823934874763
1785860353.7599308,-0.0004829675890505314,0.0011160308495163918,-0.2717376947402954,-0.0009306840947829187,0.0004204882716294378,-1.0,0.7282627750281668,0.021087127827253426,-0.028909102037083356,-0.48460161887109277,0.485920911417771
1785860353.7799149,-0.0006724986014887691,0.0012928267242386937,-0.2988312244415283,-0.0009306840947829187,0.0004204882716294378,-1.0,0.701169365740041,0.023354412353743102,-0.030534827683120967,-0.28852635775506497,0.2910760440115783
1785860353.7999537,-0.0008083343273028731,0.001419584034010768,-0.3172239363193512,-0.0009306840947829187,0.0004204882716294378,-1.0,0.6827768056232207,0.024945515250932658,-0.03150027915323153,-0.16646137581765652,0.17124233108952094
1785860353.8199415,-0.001026288839057088,0.0016201026737689972,-0.3452213704586029,-0.0009306840947829187,0.0004204882716294378,-1.0,0.6547797354218372,0.027362370568473123,-0.032844897565431894,0.014164268389344203,0.04503457691835834
1785860353.8400207,-0.0011809580028057098,0.0017608552007004619,-0.36412814259529114,-0.0009306840947829187,0.0004204882716294378,-1.0,0.6358733193489471,0.02901312942444929,-0.033747151372488585,0.1261044629961252,0.13372721298336632
1785860353.8599126,-0.0014271088875830173,0.001979940105229616,-0.3927671015262604,-0.0009306840947829187,0.0004204882716294378,-1.0,0.6072351038242232,0.03152753049615421,-0.03496840246766806,0.2916957806497812,0.2954711539206696
1785860353.8800128,-0.0016005560755729675,0.002130551030859351,-0.4120204746723175,-0.0009306840947829187,0.0004204882716294378,-1.0,0.5879823936545022,0.033119615180563416,-0.03562498596915975,0.39412047995626925,0.39711081734947923
1785860353.8999503,-0.0018730831798166037,0.0023612657096236944,-0.44105806946754456,-0.0009306840947829187,0.0004204882716294378,-1.0,0.5589460943959154,0.03542833129610517,-0.036675996978767215,0.5442075270563365,0.5465913719750672
1785860353.9200573,-0.002063425024971366,0.0025179251097142696,-0.46049779653549194,-0.0009306840947829187,0.0004204882716294378,-1.0,0.5395074697224906,0.03700911010071286,-0.037404165267478674,0.6367509993463755,0.638921420034116
1785860353.9399211,-0.0023601676803082228,0.0027562491595745087,-0.489705353975296,-0.0009306840947829187,0.0004204882716294378,-1.0,0.5103019938857039,0.03917257462177076,-0.03852699419297278,0.773122263327241,0.7750721604704166
1785860353.9599066,-0.002565128728747368,0.002916681580245495,-0.5091908574104309,-0.0009306840947829187,0.0004204882716294378,-1.0,0.49081821160161065,0.04050237491555163,-0.039254999895114454,0.8567019599825143,0.8585567224292445
1785860353.9799128,-0.0028818403370678425,0.003156759776175022,-0.5383666753768921,-0.0009306840947829187,0.0004204882716294378,-1.0,0.4616455573218615,0.042571392371464754,-0.040133375412784514,0.9793492654711008,0.9810953037545606
1785860353.9999871,-0.003099526511505246,0.0033156119752675295,-0.5577681064605713,-0.0009306840947829187,0.0004204882716294378,-1.0,0.44224668826590047,0.04385239422708401,-0.04067115419125184,1.0543404477983713,1.0560354895202937
1785860354.0199265,-0.0034333039075136185,0.0035514957271516323,-0.5867272019386292,-0.0009306840947829187,0.0004204882716294378,-1.0,0.4132922355078646,0.04568619473758736,-0.04158499986678362,1.1636877378374337,1.1653264314331522
1785860354.0400703,-0.0036601447500288486,0.003707143012434244,-0.6059248447418213,-0.0009306840947829187,0.0004204882716294378,-1.0,0.39409831266653683,0.04677111077882,-0.04228254305804148,1.2299280837923288,1.2315431139639446
1785860354.0599756,-0.004004500340670347,0.003938916604965925,-0.6344920992851257,-0.0009306840947829187,0.0004204882716294378,-1.0,0.36553775888305257,0.04847916920404532,-0.043284166720695794,1.3258977302461863,1.3274895630502743
1785860354.0799885,-0.004237291868776083,0.0040921978652477264,-0.6533741354942322,-0.0009306840947829187,0.0004204882716294378,-1.0,0.34666108095758574,0.0495174685420061,-0.04398273438168689,1.3839156412035227,1.3854995353959005
1785860354.0999675,-0.004587761592119932,0.004320657812058926,-0.6813921332359314,-0.0009306840947829187,0.0004204882716294378,-1.0,0.31865272366985364,0.050859504000429295,-0.044919805029407144,1.467384545698762,1.4689526483132844
1785860354.1200225,-0.004821936134248972,0.004472518805414438,-0.6998600959777832,-0.0009306840947829187,0.0004204882716294378,-1.0,0.3001924762220847,0.051633203635137764,-0.04559041165234521,1.517390820875764,1.5189533819805936
1785860354.1399586,-0.005171784665435553,0.004700471647083759,-0.7271877527236938,-0.0009306840947829187,0.0004204882716294378,-1.0,0.2728787779503803,0.05281877576108673,-0.046602349466644225,1.5885564817339182,1.5901173848831271
1785860354.160008,-0.005403704009950161,0.004852963145822287,-0.7451514005661011,-0.0009306840947829187,0.0004204882716294378,-1.0,0.2549263881478175,0.0533923915141786,-0.04713527268311009,1.6309645046144725,1.6325188197123015
1785860354.1799166,-0.005746208131313324,0.005081166047602892,-0.7716614603996277,-0.0009306840947829187,0.0004204882716294378,-1.0,0.22843686185882664,0.05405381865534582,-0.04790791520103812,1.6904404462724925,1.6919828267580255
1785860354.1999266,-0.005971280392259359,0.005234137177467346,-0.7890414595603943,-0.0009306840947829187,0.0004204882716294378,-1.0,0.2110736473632641,0.054580117358040296,-0.048413387125823645,1.7254121927171946,1.7269539889762466
1785860354.2199776,-0.006302847061306238,0.0054628741927444935,-0.8146244287490845,-0.0009306840947829187,0.0004204882716294378,-1.0,0.1855219345719519,0.055155207111645725,-0.0489658180559054,1.7742834676653145,1.7758157482801715
1785860354.239935,-0.006520263385027647,0.005615648347884417,-0.8313539028167725,-0.0009306840947829187,0.0004204882716294378,-1.0,0.1688186576773861,0.05551072986438521,-0.04943108572019264,1.8024009465128183,1.8039329381537046
1785860354.2599275,-0.006839496549218893,0.005843070335686207,-0.8559149503707886,-0.0009306840947829187,0.0004204882716294378,-1.0,0.14430807318897806,0.05590028014886775,-0.04984427276439965,1.8406643232256172,1.8421874073078865
